Department;BusinessTravel;DailyRate;Attrition;DistanceFromHome(Km);Education;EducationField;EducationCategory;EmployeeCount;EmployeeNumber;EnvironmentSatisfaction;Gender
Sales;Travel_Rarely;1102;Yes;1;College;Life Sciences;STEM;1;1;2;Female
Research & Development;Travel_Frequently;279;No;8;Below College;Life Sciences;STEM;1;2;3;Male
Research & Development;Travel_Rarely;1373;Yes;2;College;Other;Other;1;4;4;Male
Research & Development;Travel_Frequently;1392;No;3;Master;Life Sciences;STEM;1;5;4;Female
Research & Development;Travel_Rarely;591;No;2;Below College;Medical;STEM;1;7;1;Male
Research & Development;Travel_Frequently;1005;No;2;College;Life Sciences;STEM;1;8;4;Male
Research & Development;Travel_Rarely;1324;No;3;Barchelor;Medical;STEM;1;10;3;Female
Research & Development;Travel_Rarely;1358;No;24;Below College;Life Sciences;STEM;1;11;4;Male
Research & Development;Travel_Frequently;216;No;23;Barchelor;Life Sciences;STEM;1;12;4;Male
Research & Development;Travel_Rarely;1299;No;27;Barchelor;Medical;STEM;1;13;3;Male
Research & Development;Travel_Rarely;809;No;16;Barchelor;Medical;STEM;1;14;1;Male
Research & Development;Travel_Rarely;153;No;15;College;Life Sciences;STEM;1;15;4;Female
Research & Development;Travel_Rarely;670;No;26;Below College;Life Sciences;STEM;1;16;1;Male
Research & Development;Travel_Rarely;1346;No;19;College;Medical;STEM;1;18;2;Male
Research & Development;Travel_Rarely;103;Yes;24;Barchelor;Life Sciences;STEM;1;19;3;Male
Research & Development;Travel_Rarely;1389;No;21;Master;Life Sciences;STEM;1;20;2;Female
Research & Development;Travel_Rarely;334;No;5;College;Life Sciences;STEM;1;21;1;Male
Research & Development;Non-Travel;1123;No;16;College;Medical;STEM;1;22;4;Male
Sales;Travel_Rarely;1219;No;2;Master;Life Sciences;STEM;1;23;1;Female
Research & Development;Travel_Rarely;371;No;2;Barchelor;Life Sciences;STEM;1;24;4;Male
Research & Development;Non-Travel;673;No;11;College;Other;Other;1;26;1;Female
Sales;Travel_Rarely;1218;Yes;9;Master;Life Sciences;STEM;1;27;3;Male
Research & Development;Travel_Rarely;419;No;7;Master;Life Sciences;STEM;1;28;1;Female
Research & Development;Travel_Rarely;391;No;15;College;Life Sciences;STEM;1;30;3;Male
Research & Development;Travel_Rarely;699;Yes;6;Below College;Medical;STEM;1;31;2;Male
Research & Development;Travel_Rarely;1282;No;5;Barchelor;Other;Other;1;32;3;Female
Research & Development;Travel_Frequently;1125;Yes;16;Below College;Life Sciences;STEM;1;33;2;Female
Sales;Travel_Rarely;691;No;8;Master;Marketing;Social;1;35;3;Male
Research & Development;Travel_Rarely;477;No;7;Master;Medical;STEM;1;36;1;Female
Sales;Travel_Rarely;705;No;2;Master;Marketing;Social;1;38;2;Female
Research & Development;Travel_Rarely;924;No;2;Barchelor;Medical;STEM;1;39;3;Male
Research & Development;Travel_Rarely;1459;No;10;Master;Other;Other;1;40;4;Male
Research & Development;Travel_Rarely;125;No;9;College;Medical;STEM;1;41;4;Male
Sales;Travel_Rarely;895;Yes;5;Barchelor;Technical Degree;STEM;1;42;4;Male
Research & Development;Travel_Rarely;813;Yes;1;Barchelor;Medical;STEM;1;45;2;Male
Research & Development;Travel_Rarely;1273;No;2;College;Medical;STEM;1;46;4;Female
Sales;Travel_Rarely;869;Yes;3;College;Marketing;Social;1;47;1;Male
Sales;Travel_Rarely;890;No;2;Barchelor;Marketing;Social;1;49;4;Female
Research & Development;Travel_Rarely;852;No;5;Master;Life Sciences;STEM;1;51;2;Female
Sales;Travel_Frequently;1141;No;1;Barchelor;Life Sciences;STEM;1;52;3;Female
Research & Development;Travel_Rarely;464;No;4;College;Other;Other;1;53;3;Male
Research & Development;Travel_Rarely;1240;No;2;Master;Life Sciences;STEM;1;54;4;Female
Research & Development;Travel_Rarely;1357;Yes;25;Barchelor;Life Sciences;STEM;1;55;1;Male
Sales;Travel_Frequently;994;No;8;Barchelor;Life Sciences;STEM;1;56;4;Male
Research & Development;Travel_Frequently;721;No;1;College;Medical;STEM;1;57;3;Female
Research & Development;Travel_Rarely;1360;Yes;12;Barchelor;Technical Degree;STEM;1;58;2;Female
Sales;Non-Travel;1065;No;23;Master;Marketing;Social;1;60;2;Male
Research & Development;Travel_Rarely;408;No;19;College;Life Sciences;STEM;1;61;2;Male
Sales;Travel_Frequently;1211;No;5;Master;Marketing;Social;1;62;1;Male
Research & Development;Travel_Rarely;1229;No;8;Below College;Life Sciences;STEM;1;63;4;Male
Research & Development;Travel_Rarely;626;Yes;1;College;Life Sciences;STEM;1;64;1;Male
Research & Development;Travel_Rarely;1434;Yes;5;Master;Technical Degree;STEM;1;65;3;Male
Sales;Travel_Rarely;1488;No;1;Doctor;Marketing;Social;1;68;2;Female
Research & Development;Non-Travel;1097;No;11;College;Medical;STEM;1;70;3;Male
Sales;Travel_Rarely;1443;No;23;Barchelor;Marketing;Social;1;72;3;Female
Research & Development;Travel_Frequently;515;No;1;College;Life Sciences;STEM;1;73;1;Female
Sales;Travel_Frequently;853;No;18;Doctor;Life Sciences;STEM;1;74;2;Male
Research & Development;Travel_Rarely;1142;No;23;Master;Medical;STEM;1;75;3;Female
